,Filler,Finish,Grills,Norton Misc.,Numbers,Prefinished Flooring,Sandpaper,Sandpaper-Belts,Sandpaper-Buffer,Sandpaper-Edger,Sandpaper-Screens,Stair Treads,Unfinished Flooring,Unfinished Trim
2019-03-29,3002.062,84902.11799999999,4682.478,164.832,20894.75,85267.25999999998,5389.914000000001,5372.286999999999,3161.165000000001,9498.93,4725.810000000001,1971.9859999999999,100086.435,15786.712000000003
2019-03-30,3002.062,84481.15599999999,4682.478,164.832,20831.45,85331.12499999999,5389.914000000001,5353.055,3158.269000000001,9453.133,4721.2880000000005,1971.9859999999999,100086.435,15714.579000000002
2019-03-31,3002.062,84481.15599999999,4682.478,164.832,20831.45,85331.12499999999,5389.914000000001,5353.055,3158.269000000001,9453.133,4721.2880000000005,1971.9859999999999,100086.435,15714.579000000002
2019-04-01,3002.062,84481.15599999999,4682.478,164.832,20831.45,85331.12499999999,5389.914000000001,5353.055,3158.269000000001,9453.133,4721.2880000000005,1971.9859999999999,100086.435,15714.579000000002
2019-04-02,2984.1639999999998,84189.765,4899.978000000001,164.832,20463.778000000002,85331.12499999999,5389.914000000001,5353.055,3255.469000000001,9453.133,5304.188000000001,1971.9859999999999,100086.435,15681.939000000002
2019-04-03,2948.306,83281.32299999999,4899.978000000001,164.832,20100.005,85331.12499999999,5389.914000000001,5353.055,3255.469000000001,9453.133,5180.488000000001,1971.9859999999999,100086.435,15681.939000000002
2019-04-04,2656.3020000000006,77027.13200000001,5205.678000000001,164.832,20100.005,85331.12499999999,5389.914000000001,4616.063,3260.219000000001,8540.851999999999,4535.468000000001,1971.9859999999999,95963.879,15573.595000000003
2019-04-05,2656.3020000000006,74392.68400000001,5255.188,164.832,20100.005,82798.692,5378.792,5058.963000000002,3252.900000000001,9310.452000000001,4696.568000000001,1971.9859999999999,80728.62599999999,15575.677000000003
2019-04-06,2549.3250000000003,74331.53000000001,5078.259,164.832,20100.005,82798.692,5378.792,5059.533000000001,3252.900000000001,9272.452000000001,4698.998000000001,1971.9859999999999,80728.62599999999,17526.249000000003
2019-04-07,2549.3250000000003,74331.53000000001,5078.259,164.832,20100.005,82798.692,5378.792,5059.533000000001,3252.900000000001,9272.452000000001,4698.998000000001,1971.9859999999999,80728.62599999999,17526.249000000003
2019-04-08,2549.3250000000003,74331.53000000001,5078.259,164.832,20100.005,82798.692,5378.792,5059.533000000001,3252.900000000001,9272.452000000001,4698.998000000001,1971.9859999999999,80728.62599999999,17526.249000000003
2019-04-09,2549.3250000000003,76140.667,5017.192999999999,164.832,19636.538,82734.827,5325.992,5427.013000000001,3247.100000000001,10188.452000000001,5262.511000000001,1971.9859999999999,118256.747,17391.695000000003
2019-04-10,2348.2860000000005,75992.12800000001,5289.924,164.832,19596.099000000002,79902.242,5325.992,5418.213,3247.100000000001,9837.818000000001,5262.511000000001,1971.9859999999999,117783.077,17314.079000000005
2019-04-11,2329.6950000000006,75458.13500000001,5237.051,164.832,19596.099000000002,76316.519,5325.992,5343.7699999999995,3221.646000000001,9837.818000000001,5127.498000000001,1971.9859999999999,117783.077,17256.942000000006
2019-04-12,2329.6950000000006,72545.03100000002,5237.051,164.832,19606.877,76316.519,5325.992,5167.669999999999,3216.908000000001,9837.818000000001,5127.498000000001,1971.9859999999999,113778.71,16921.637000000002
2019-04-13,3869.5350000000003,69659.24500000001,4726.677999999999,164.832,19541.994,76316.519,5217.992,5060.107999999998,3197.954000000001,9626.821,5127.498000000001,1971.9859999999999,106283.428,16904.613000000005
2019-04-14,3869.5350000000003,69659.24500000001,4726.677999999999,164.832,19541.994,76316.519,5217.992,5060.107999999998,3197.954000000001,9626.821,5127.498000000001,1971.9859999999999,106283.428,16904.613000000005
2019-04-15,3869.5350000000003,69659.24500000001,4726.677999999999,164.832,19541.994,76316.519,5217.992,5060.107999999998,3197.954000000001,9626.821,5127.498000000001,1971.9859999999999,106283.428,16904.613000000005
2019-04-16,3761.996,68886.414,4583.019,164.832,19500.656,76316.519,5195.748,5029.907999999999,3197.954000000001,9519.608,5054.6500000000015,1971.9859999999999,100561.11600000001,16757.708000000002
2019-04-17,3708.43,68343.043,4518.955999999999,164.832,18883.482,74228.871,5142.626,5495.307999999998,3197.954000000001,9736.818000000003,5189.850000000001,1971.9859999999999,100561.11600000001,16600.837000000003
2019-04-18,3708.43,67808.126,4635.505999999999,164.832,18693.956000000002,74228.871,5142.626,5374.311999999999,3197.954000000001,9736.818000000003,5189.850000000001,1971.9859999999999,100776.92100000002,16590.785000000003
2019-04-19,3708.43,66781.596,4417.941,164.832,18693.956000000002,74228.871,5142.626,5254.258999999999,3195.0580000000004,9625.974000000002,5189.850000000001,1971.9859999999999,100365.32500000001,16358.888000000004
2019-04-20,3708.43,65362.13699999998,4688.25,164.832,17775.063,74228.871,5142.626,5190.658999999999,3155.448000000001,9625.974000000002,5134.364000000001,1971.9859999999999,99812.18900000001,16280.638000000004
2019-04-21,3708.43,65362.13699999998,4688.25,164.832,17775.063,74228.871,5142.626,5190.658999999999,3155.448000000001,9625.974000000002,5134.364000000001,1971.9859999999999,99812.18900000001,16280.638000000004
2019-04-22,3708.43,65362.13699999998,4688.25,164.832,17775.063,74228.871,5142.626,5190.658999999999,3155.448000000001,9625.974000000002,5134.364000000001,1971.9859999999999,99812.18900000001,16280.638000000004
2019-04-23,3672.7110000000002,65029.37399999999,4481.075999999999,164.832,17775.063,74228.871,5142.626,4928.466,3155.448000000001,9348.479000000001,5134.364000000001,1971.9859999999999,99497.40000000002,16169.507000000003
2019-04-24,3654.795,65003.32699999999,4393.664999999999,164.832,17775.063,74228.871,5142.626,5088.965999999999,3155.448000000001,9677.979000000001,5163.964000000001,1971.9859999999999,96130.63,16130.081000000004
