,,Adhesives,Applicators,Fasteners,Filler,Finish,Grills,Lagler Parts,Norton Misc.,Numbers,Parts,Prefinished Flooring,Prefinished Trim,Sandpaper,Sandpaper-Belts,Sandpaper-Buffer,Sandpaper-Edger,Sandpaper-Rolls,Sandpaper-Screens,Stair Treads,Tools,Underlayment,Unfinished Flooring,Unfinished Trim,WPC,Wickham Miscellaneous
2019-03-31,8207.39,2217.409,4168.734,12614.337,4646.792,106594.031,10196.834,1678.5,379.45200000000006,24532.214,4971.000000000001,382052.5620000002,9123.626,8088.904,9982.077999999998,4628.8589999999995,18418.031999999996,3257.696,8917.904999999999,4560.698,6159.263999999999,11245.34,144811.40599999996,20838.101,41221.695000000014,4152.634999999998
2019-04-01,8207.39,2217.409,4168.734,12614.337,4646.792,106594.031,10196.834,1678.5,379.45200000000006,24532.214,4971.000000000001,382052.5620000002,9123.626,8088.904,9982.077999999998,4628.8589999999995,18418.031999999996,3257.696,8917.904999999999,4560.698,6159.263999999999,11245.34,144811.40599999996,20838.101,41221.695000000014,4152.634999999998
2019-04-02,8207.39,2217.409,4168.734,12551.741000000002,4628.894,106302.64000000001,10644.434,1678.5,379.45200000000006,24164.542,4971.000000000001,399735.44200000033,9123.626,8088.904,9982.077999999998,4726.058999999998,18418.031999999996,3257.696,9500.804999999998,4560.698,6159.263999999999,11119.118,144811.40599999996,20805.461,41221.695000000014,4152.634999999998
2019-04-03,8207.39,2217.409,4165.924,12545.141,4591.666,105394.19800000002,10644.434,1678.5,379.45200000000006,23800.769,4971.000000000001,399357.0620000003,9232.256,8088.904,9982.077999999998,4726.058999999998,18388.531999999996,3257.696,9377.105,4560.698,6159.263999999999,11074.697,144811.40599999996,20805.461,41221.695000000014,4152.634999999998
2019-04-04,8207.39,2217.409,4165.924,11262.258,4298.0019999999995,99005.32700000003,10931.134000000002,1678.5,379.45200000000006,23800.769,4901.52,393322.90200000035,9123.516,8088.904,9245.086,4730.808999999998,17476.251,3257.696,8734.885999999999,4560.698,6159.263999999999,8213.3,140688.84999999995,20697.117,40321.90100000001,4132.0909999999985
2019-04-05,8207.39,2217.409,4060.157,11262.258,4298.0019999999995,96332.70700000002,11340.034000000001,1678.5,379.45200000000006,23800.769,4901.52,396484.7750000003,9123.516,8077.782,9687.985999999999,4723.489999999999,18245.851,3257.696,8895.985999999999,4560.698,6149.775999999999,8183.686,116010.83799999996,20699.199,42968.60100000001,4129.5909999999985
2019-04-06,8207.39,2217.409,4060.157,11262.258,4191.025,96259.11900000002,11066.555000000002,1678.5,379.45200000000006,23800.769,4881.200000000001,393458.8750000003,8731.896,8077.782,9688.555999999999,4723.489999999999,18207.851,3257.696,8898.416,4560.698,6120.1399999999985,8183.686,116010.83799999996,22649.770999999997,43085.16100000001,4129.5909999999985
2019-04-07,8207.39,2217.409,4060.157,11262.258,4191.025,96259.11900000002,11066.555000000002,1678.5,379.45200000000006,23800.769,4881.200000000001,393458.8750000003,8731.896,8077.782,9688.555999999999,4723.489999999999,18207.851,3257.696,8898.416,4560.698,6120.1399999999985,8183.686,116010.83799999996,22649.770999999997,43085.16100000001,4129.5909999999985
2019-04-08,8207.39,2217.409,4060.157,11262.258,4191.025,96259.11900000002,11066.555000000002,1678.5,379.45200000000006,23800.769,4881.200000000001,393458.8750000003,8731.896,8077.782,9688.555999999999,4723.489999999999,18207.851,3257.696,8898.416,4560.698,6120.1399999999985,8183.686,116010.83799999996,22649.770999999997,43085.16100000001,4129.5909999999985
2019-04-09,8124.182999999999,2127.909,4056.777,11163.099,4191.025,98425.65000000002,11005.489000000001,3103.9500000000003,379.45200000000006,23337.302000000003,4881.200000000001,376159.5410000003,8731.896,8024.982,10346.435999999998,4705.822999999999,19120.291,3257.696,9461.928999999998,4560.698,6120.1399999999985,8109.65,151748.85899999997,22515.217,41489.87300000002,4109.046999999999
2019-04-10,8124.182999999999,2127.909,4056.777,11163.099,3989.9860000000003,98277.11100000003,11312.490000000003,3103.9500000000003,379.45200000000006,23296.863000000005,4881.200000000001,383924.30600000033,8862.626,8024.982,10337.635999999999,4705.822999999999,18769.657,3257.696,9461.928999999998,4560.698,5930.383999999999,8050.4220000000005,151382.79099999997,22437.601000000002,39420.75200000002,4068.2409999999986
